feature,spearman_rho,absolute_rho,exact_p_value,bh_q_value,loo_direction_stability
syntax_dependency_distance_mean,0.50709255283711,0.50709255283711,0.25,0.9511278195488722,1.0
syntax_left_dependency_ratio,-0.50709255283711,0.50709255283711,0.25,0.9511278195488722,1.0
syntax_mean_sentence_tokens,0.50709255283711,0.50709255283711,0.25,0.9511278195488722,1.0
syntax_mean_tree_depth,0.50709255283711,0.50709255283711,0.25,0.9511278195488722,1.0
syntax_median_sentence_tokens,0.50709255283711,0.50709255283711,0.25,0.9511278195488722,1.0
upos_adp_ratio,0.50709255283711,0.50709255283711,0.25,0.9511278195488722,1.0
upos_noun_ratio,-0.50709255283711,0.50709255283711,0.25,0.9511278195488722,1.0
upos_num_ratio,0.50709255283711,0.50709255283711,0.25,0.9511278195488722,1.0
surface_parenthesis_density,0.4879500364742666,0.4879500364742666,0.375,0.9511278195488722,0.875
surface_sentence_count,-0.45345616101210856,0.45345616101210856,0.2857142857142857,0.9511278195488722,1.0
syntax_sentence_count,-0.45345616101210856,0.45345616101210856,0.2857142857142857,0.9511278195488722,1.0
syntax_first_person_pronoun_ratio,-0.4426266681379905,0.4426266681379905,0.4642857142857143,0.9947575360419397,1.0
surface_short_paragraph_ratio,0.4230785196508496,0.4230785196508496,0.39285714285714285,0.9511278195488722,1.0
surface_semicolon_density,-0.42021015763136493,0.42021015763136493,0.32142857142857145,0.9511278195488722,1.0
deprel_ccomp_ratio,0.3944053188733077,0.3944053188733077,0.39285714285714285,0.9511278195488722,1.0
deprel_compound_ratio,-0.3944053188733077,0.3944053188733077,0.39285714285714285,0.9511278195488722,1.0
deprel_cop_ratio,0.3944053188733077,0.3944053188733077,0.39285714285714285,0.9511278195488722,1.0
deprel_nummod_ratio,0.3944053188733077,0.3944053188733077,0.39285714285714285,0.9511278195488722,1.0
deprel_xcomp_ratio,0.3944053188733077,0.3944053188733077,0.39285714285714285,0.9511278195488722,1.0
discourse_directive_markers_per_10k_cjk,-0.3944053188733077,0.3944053188733077,0.39285714285714285,0.9511278195488722,1.0
graph_abstract_shell_count_per_100_cjk,0.3944053188733077,0.3944053188733077,0.39285714285714285,0.9511278195488722,1.0
graph_mean_adjacent_bridge_weight,-0.3944053188733077,0.3944053188733077,0.39285714285714285,0.9511278195488722,1.0
hypothesis_abstract_shells_per_1k_cjk,0.3944053188733077,0.3944053188733077,0.39285714285714285,0.9511278195488722,1.0
hypothesis_referential_sentence_opening_ratio,0.3944053188733077,0.3944053188733077,0.39285714285714285,0.9511278195488722,1.0
surface_comma_density,0.3944053188733077,0.3944053188733077,0.39285714285714285,0.9511278195488722,1.0
surface_dash_density,0.3944053188733077,0.3944053188733077,0.39285714285714285,0.9511278195488722,1.0
surface_period_density,-0.3944053188733077,0.3944053188733077,0.39285714285714285,0.9511278195488722,1.0
surface_punctuation_density,0.3944053188733077,0.3944053188733077,0.39285714285714285,0.9511278195488722,1.0
surface_sentence_length_cv,-0.3944053188733077,0.3944053188733077,0.39285714285714285,0.9511278195488722,1.0
syntax_adjacent_content_jaccard_mean,-0.3944053188733077,0.3944053188733077,0.39285714285714285,0.9511278195488722,1.0
syntax_adjacent_noun_jaccard_mean,-0.3944053188733077,0.3944053188733077,0.39285714285714285,0.9511278195488722,1.0
syntax_clause_relations_per_sentence,0.3944053188733077,0.3944053188733077,0.39285714285714285,0.9511278195488722,1.0
syntax_content_word_ratio,-0.3944053188733077,0.3944053188733077,0.39285714285714285,0.9511278195488722,1.0
syntax_lexical_mattr,0.3944053188733077,0.3944053188733077,0.39285714285714285,0.9511278195488722,1.0
syntax_sentence_length_cv,-0.3944053188733077,0.3944053188733077,0.39285714285714285,0.9511278195488722,1.0
syntax_subordinate_relation_ratio,0.3944053188733077,0.3944053188733077,0.39285714285714285,0.9511278195488722,1.0
syntax_treelet_entropy_bits,0.3944053188733077,0.3944053188733077,0.39285714285714285,0.9511278195488722,1.0
upos_pron_ratio,0.3944053188733077,0.3944053188733077,0.39285714285714285,0.9511278195488722,1.0
upos_sconj_ratio,0.3944053188733077,0.3944053188733077,0.39285714285714285,0.9511278195488722,1.0
syntax_max_tree_depth,-0.3626387311292997,0.3626387311292997,0.5178571428571429,0.9947575360419397,1.0
graph_mainline_detour_ratio,0.34859573626447604,0.34859573626447604,0.48214285714285715,0.9947575360419397,1.0
syntax_passive_relation_ratio,-0.30015011259383206,0.30015011259383206,0.5,0.9947575360419397,1.0
deprel_iobj_ratio,-0.29277002188455997,0.29277002188455997,1.0,1.0,0.875
discourse_contrast_markers_per_10k_cjk,-0.29277002188455997,0.29277002188455997,1.0,1.0,0.875
surface_question_sentence_ratio,-0.29277002188455997,0.29277002188455997,1.0,1.0,0.875
syntax_second_person_pronoun_ratio,-0.29277002188455997,0.29277002188455997,1.0,1.0,0.875
