feature,spearman_rho,absolute_rho,exact_p_value,bh_q_value,loo_direction_stability
surface_compression_ratio,0.4824181513244218,0.4824181513244218,0.16825396825396827,0.8609088079676315,1.0
syntax_clause_relations_per_sentence,0.4824181513244218,0.4824181513244218,0.16825396825396827,0.8609088079676315,1.0
syntax_dependency_relation_entropy_bits,0.44221663871405326,0.44221663871405326,0.20476190476190476,0.8609088079676315,1.0
syntax_lexical_mattr,0.44221663871405326,0.44221663871405326,0.20476190476190476,0.8609088079676315,1.0
syntax_nominal_modifier_relation_ratio,-0.44221663871405326,0.44221663871405326,0.20476190476190476,0.8609088079676315,1.0
discourse_all_markers_per_10k_cjk,-0.42515019483947436,0.42515019483947436,0.21904761904761905,0.8609088079676315,1.0
deprel_compound_ratio,-0.42211588240886905,0.42211588240886905,0.23492063492063492,0.8609088079676315,1.0
surface_cjk_char_type_token_ratio,0.42211588240886905,0.42211588240886905,0.23492063492063492,0.8609088079676315,1.0
syntax_content_word_ratio,-0.42211588240886905,0.42211588240886905,0.23492063492063492,0.8609088079676315,1.0
upos_sconj_ratio,0.42211588240886905,0.42211588240886905,0.23492063492063492,0.8609088079676315,1.0
deprel_root_ratio,-0.4020151261036848,0.4020151261036848,0.25396825396825395,0.8609088079676315,1.0
syntax_mean_sentence_tokens,0.4020151261036848,0.4020151261036848,0.25396825396825395,0.8609088079676315,1.0
syntax_treelet_entropy_bits,0.4020151261036848,0.4020151261036848,0.25396825396825395,0.8609088079676315,1.0
deprel_nmod_ratio,-0.3819143697985006,0.3819143697985006,0.28253968253968254,0.8609088079676315,1.0
deprel_nummod_ratio,0.3819143697985006,0.3819143697985006,0.28253968253968254,0.8609088079676315,1.0
deprel_xcomp_ratio,0.3819143697985006,0.3819143697985006,0.28253968253968254,0.8609088079676315,1.0
hypothesis_referential_sentence_opening_ratio,0.3819143697985006,0.3819143697985006,0.28253968253968254,0.8609088079676315,1.0
surface_comma_density,0.3819143697985006,0.3819143697985006,0.28253968253968254,0.8609088079676315,1.0
surface_period_density,-0.3819143697985006,0.3819143697985006,0.28253968253968254,0.8609088079676315,1.0
syntax_pos_trigram_entropy_bits,0.3819143697985006,0.3819143697985006,0.28253968253968254,0.8609088079676315,1.0
syntax_passive_relation_ratio,-0.36578176047514493,0.36578176047514493,0.30873015873015874,0.8609088079676315,1.0
graph_semantic_components_per_sentence,0.36402656142555434,0.36402656142555434,0.2992063492063492,0.8609088079676315,1.0
deprel_ccomp_ratio,0.3618136134933163,0.3618136134933163,0.31587301587301586,0.8609088079676315,1.0
graph_propositions_per_100_cjk,0.3618136134933163,0.3618136134933163,0.31587301587301586,0.8609088079676315,1.0
surface_char_count,-0.3618136134933163,0.3618136134933163,0.31587301587301586,0.8609088079676315,1.0
surface_non_whitespace_char_count,-0.3618136134933163,0.3618136134933163,0.31587301587301586,0.8609088079676315,1.0
syntax_mean_lexical_token_cjk_chars,-0.3618136134933163,0.3618136134933163,0.31587301587301586,0.8609088079676315,1.0
graph_explicit_discourse_edge_count,-0.356533872326883,0.356533872326883,0.32857142857142857,0.8677209192134565,1.0
syntax_mean_nonleaf_branching,0.3417128571881321,0.3417128571881321,0.3396825396825397,0.8677209192134565,1.0
surface_paragraph_count,-0.3357572326170479,0.3357572326170479,0.3388888888888889,0.8677209192134565,1.0
surface_short_paragraph_ratio,0.32963059741072886,0.32963059741072886,0.39206349206349206,0.8677209192134565,1.0
surface_dash_density,0.32558277102259187,0.32558277102259187,0.3746031746031746,0.8677209192134565,1.0
deprel_mark_ratio,0.32161210088294784,0.32161210088294784,0.36984126984126986,0.8677209192134565,1.0
surface_cjk_char_mattr,0.32161210088294784,0.32161210088294784,0.36984126984126986,0.8677209192134565,1.0
upos_verb_ratio,0.32161210088294784,0.32161210088294784,0.36984126984126986,0.8677209192134565,1.0
