feature,combined_partial_spearman,infoq_partial_spearman,jiqizhixin_partial_spearman,source_direction_consistent,combined_feature_length_spearman,loo_direction_stability,permutation_p_value,bh_q_value,ranking_score
discourse_marker_type_coverage,0.12726986791491374,0.11623647964168184,0.1362214848158377,True,0.732091754104234,1.0,0.22915416916616677,0.6160017996400721,0.12726986791491374
surface_paragraph_length_cv,-0.12216110489368298,-0.23601823660928106,-0.029786450860273202,True,0.08190544372493841,1.0,0.2491501699660068,0.6160017996400721,0.12216110489368298
title_digit_present,-0.11984749047627638,-0.10165610688432744,-0.13460653754144247,True,-0.060121397251672204,1.0,0.26774645070985803,0.6160017996400721,0.11984749047627638
hypothesis_referential_sentence_opening_ratio,0.11829086480001653,0.06186504147497329,0.16407030636561765,True,0.3463838598132909,1.0,0.2511497700459908,0.6160017996400721,0.11829086480001653
discourse_enumeration_markers_per_10k_cjk,0.11708396982061597,0.025627946934119454,0.19128413933230182,True,0.30373185547437537,1.0,0.2643471305738852,0.6160017996400721,0.11708396982061597
surface_exact_sentence_repeat_ratio,-0.11411678505889208,-0.012304690610663423,-0.19671905036594553,True,0.19513161123138992,1.0,0.27534493101379726,0.6160017996400721,0.11411678505889208
surface_ascii_letter_ratio,0.11198724975079052,0.18617722488966384,0.05179538312868575,True,-0.36047188859588786,1.0,0.27894421115776846,0.6160017996400721,0.11198724975079052
discourse_all_markers_per_10k_cjk,0.09163572276440368,0.06824114556177156,0.11061622879672785,True,0.34303583015319095,1.0,0.3793241351729654,0.6698483832645236,0.09163572276440368
discourse_hedge_markers_per_10k_cjk,0.09040403660788579,0.13271682498084522,0.05607479321095643,True,0.31490325327934793,1.0,0.3805238952209558,0.6698483832645236,0.09040403660788579
discourse_causal_markers_per_10k_cjk,-0.08499402049081642,-0.15875271540754626,-0.0251520604640356,True,0.37649345751987695,1.0,0.40691861627674464,0.6698483832645236,0.08499402049081642
surface_repeated_char_ngram_ratio,-0.08463883186963599,-0.1478643355671918,-0.03334266849237371,True,0.24782181795114802,1.0,0.4179164167166567,0.6698483832645236,0.08463883186963599
discourse_metadiscourse_markers_per_10k_cjk,0.08039986503629035,0.10473232545583941,0.060658434884580725,True,-0.03127265516837495,1.0,0.44831033793241354,0.6788699402976548,0.08039986503629035
hypothesis_meta_frames_per_1k_cjk,0.061940162963020975,0.05668360444533307,0.0662049179868055,True,0.24201310279088156,1.0,0.5610877824435113,0.8037203370136783,0.061940162963020975
surface_adjacent_sentence_length_change,-0.05057060435218447,-0.06816073932997012,-0.03629936276643384,True,-0.09782346357966229,1.0,0.6292741451709658,0.8337882423515296,0.05057060435218447
title_exclamation_present,-0.032059905069807916,-0.030725435755535713,-0.03314258772100989,True,-0.1893826290572187,0.9791666666666666,0.759248150369926,0.8719575233889393,0.031391990380853586
surface_question_sentence_ratio,-0.030931425755278942,-0.03292095991258055,-0.029317275401241783,True,0.1557262615090538,1.0,0.7700459908018397,0.8719575233889393,0.030931425755278942
discourse_summary_markers_per_10k_cjk,0.14405192264962086,0.3447467052691991,-0.018775919853055843,False,0.10846424156621923,1.0,0.17296540691861628,0.6111444377791109,0.0
surface_exclamatory_sentence_ratio,0.11639139776143911,-0.07073349449978597,0.26820970657715004,False,-0.14518800393351616,1.0,0.26974605078984204,0.6160017996400721,0.0
surface_colon_density,0.09909738389160791,-0.0019033420318273866,0.1810413690747724,False,-0.12448382260971932,1.0,0.33633273345330933,0.6698483832645236,0.0
discourse_booster_markers_per_10k_cjk,0.08898476469304512,-0.02424327038114883,0.18084901956456093,False,0.31804072215330015,1.0,0.3879224155168966,0.6698483832645236,0.0
surface_digit_ratio,0.08970998872380191,-0.06519856967836662,0.2153905172387688,False,-0.3608225686438023,1.0,0.3919216156768646,0.6698483832645236,0.0
