feature_id,family,pattern,hedges_g,loo_stability,translation_removed_g,source_to_time_abs_g_ratio,pre_presence,post_presence,permutation_p_value,q_value,ranking_score
47aade6b62112953bbd6ad27,pos_4gram,AUX>PRON>VERB>NOUN,0.9409688237733267,1.0,0.8321404267730641,0.45518749991817453,0,4,0.090381920337677,0.959922602972177,0.6466306395747885
010da5ad2d5189febf6976d4,pos_4gram,ADJ>SCONJ>NOUN>ADJ,0.9409547521859343,1.0,0.8318611982794628,0.45519430705812475,0,4,0.08818235993385315,0.959922602972177,0.6466179448490309
57a012d7a9975f1df1dc3bbb,pos_4gram,VERB>DET>NUM>NOUN,0.7032657505100258,1.0,0.6664969274809543,0.0905731644074992,5,8,0.11157768219709396,0.959922602972177,0.6448588443785018
850fd404accc0e8dc7306c9b,pos_4gram,AUX>VERB>X>NOUN,-1.1251975250711397,1.0,-1.0906152941249168,0.7454673312501425,5,0,0.03319336101412773,0.959922602972177,0.6446396932936282
04722e65b840b64b4a2a8122,function_word,和,-1.052856898840734,1.0,-0.9819314879117093,0.6350258567938318,10,10,0.02079584077000618,0.959922602972177,0.6439389899957367
041f42d04120ffb25daa24b7,pos_4gram,NOUN>VERB>NOUN>CCONJ,-1.0120011318316393,1.0,-0.9679786306113821,0.5715809799355548,7,5,0.03139372169971466,0.959922602972177,0.6439382664666367
5f6a6af2a6a7f94af641947f,pos_3gram,VERB>NOUN>CCONJ,-0.9456189186938343,1.0,-0.9056168203022841,0.4698082710444624,10,7,0.03799240291118622,0.959922602972177,0.6433620883231708
38c3b3a01003659a4d95880f,pos_4gram,NOUN>PART>NOUN>PART,-0.8000142456847493,1.0,-0.7662245006141801,0.2464304428532242,7,7,0.07898420095443726,0.959922602972177,0.641844276406972
52c1716265e86c29f308c592,function_word,上,-0.6571269156969485,1.0,-0.729074923404797,0.02390090852402711,8,7,0.13857229053974152,0.959922602972177,0.6417876087679321
ba38fe5fb6b49a9e1bc1976a,pos_4gram,NOUN>ADJ>NOUN>PART,0.7095490596277778,1.0,0.8686919497503978,0.10581402378496899,5,8,0.11897620558738708,0.959922602972177,0.6416531571910623
1dd766ad6e963a5cc6e28d8d,pos_2gram,AUX>PROPN,-0.9578299104560563,1.0,-0.9794359407189563,0.49614858531770284,7,4,0.04879024252295494,0.959922602972177,0.6401970498489385
6b8d1b2d10c4ae7fd33acb8b,dependency_treelet,VERB>ccomp>PRON,0.7345735320657558,1.0,0.5970208933508214,0.14923125381352464,1,4,0.14157168567180634,0.959922602972177,0.6391868735106192
126a8dda5d80216187c68d46,pos_4gram,PART>NOUN>NOUN>X,0.692365376561719,1.0,0.773453434318071,0.084284348257376,4,8,0.13337332010269165,0.959922602972177,0.6385459475408498
9b1264ba76c04de59b5febd0,pos_4gram,VERB>PROPN>PART>NOUN,-0.7791735734772285,1.0,-0.7672793528999889,0.22475325225567505,3,2,0.21595680713653564,0.959922602972177,0.6361882052913064
8fb4dc8a9bd966344812f1b3,pos_4gram,NOUN>ADP>VERB>ADP,0.8038173685443458,1.0,0.9374259357298986,0.2644655635642765,2,7,0.07438512146472931,0.959922602972177,0.6356973188566281
ed3d9091b7264971ea1473ad,pos_3gram,VERB>PART>PROPN,-0.7070777501882127,1.0,-0.6740701642990912,0.1129777745113065,4,3,0.15536892414093018,0.959922602972177,0.635302668553899
a3ce6375d5f8cc9438c9ed0f,dependency_treelet,PROPN>conj>NOUN,-0.8131892659801233,1.0,-0.7881964106169407,0.2807931537862138,4,0,0.08518296480178833,0.959922602972177,0.6349106907514424
13d04d6112c4806ff2ae8119,pos_4gram,NOUN>VERB>CCONJ>NOUN,0.9271923703402706,1.0,1.028752133694874,0.4619507883106692,0,4,0.08518296480178833,0.959922602972177,0.6342158557961249
84b798b2dfce3b5a3820f226,pos_3gram,PART>AUX>ADV,-0.8297587172099558,1.0,-0.795196557674722,0.31006796880919313,4,1,0.090381920337677,0.959922602972177,0.6333707387443248
9d9d5aa21edf94fff765fc6b,pos_4gram,SCONJ>AUX>VERB>NOUN,-0.6580801434420815,1.0,-0.5914493971647703,0.042525502224716294,7,4,0.14277143776416779,0.959922602972177,0.6312364944912708
1facc2435cb0ca1d5629cddf,pos_4gram,NOUN>ADP>NOUN>VERB,0.7552004604653625,1.0,0.9277727312124996,0.19867343233246443,8,10,0.10657868534326553,0.959922602972177,0.6300301984635127
54f21e281a7b005376d59de3,pos_4gram,SCONJ>ADJ>NOUN>VERB,0.6335959802251822,1.0,0.6558255436489192,0.0056864481360488555,1,5,0.16316737234592438,0.959922602972177,0.6300134414652763
fb98a27a2cc91b8f59742f36,pos_4gram,X>VERB>ADP>X,0.8261931995623766,1.0,0.8444844678297659,0.31176332413525076,1,5,0.07178564369678497,0.959922602972177,0.6298340442678751
e86d8918ad50a445f1eeec39,pos_4gram,NOUN>VERB>NUM>NUM,0.9212868181172266,1.0,1.0218014352045446,0.4649119448703823,0,4,0.09018196165561676,0.959922602972177,0.6289025230105169
fbccf390cfa83bb2030e7a19,pos_4gram,PRON>VERB>VERB>VERB,0.7431774625694774,1.0,0.6567426047036825,0.1832048363949628,2,5,0.08758248388767242,0.959922602972177,0.6281054976362512
de29b448f73a0275fea377fb,pos_3gram,VERB>VERB>NUM,0.7530461461516297,1.0,0.7874724810436158,0.20203252067467434,10,10,0.09498099982738495,0.959922602972177,0.6264773483241215
fd4865984d73e627d1392e4c,pos_4gram,ADP>ADP>NOUN>NOUN,-0.6305462414923348,1.0,-0.5983616773774063,0.006793048293730718,3,2,0.20955808460712433,0.959922602972177,0.6262918109744177
13e3a6b60a7655df18e2eaf6,dependency_path,xcomp>nmod,-0.930260027780941,1.0,-1.1238629575059949,0.48623750202632127,7,4,0.04319136217236519,0.959922602972177,0.6259161315150733
254bf22b26c65ff5f4ba6fef,pos_4gram,VERB>VERB>NUM>NOUN,0.6417323299377917,1.0,0.6588685238012036,0.02584025218528386,10,10,0.13837231695652008,0.959922602972177,0.6255675077778915
28342a082d97c1b2444a4b7f,pos_4gram,NOUN>NUM>NOUN>ADJ,-1.0126033193488517,1.0,-1.015409722646548,0.6191131510229627,5,2,0.032193560153245926,0.959922602972177,0.625406148241761
e93b1215b0b06c6a1f90b952,pos_3gram,ADJ>NOUN>VERB,0.9231701194666475,1.0,1.0643956372819867,0.4785194576006464,7,10,0.04379124194383621,0.959922602972177,0.6243882112750654
bea4a04340324a80c98e4da9,pos_3gram,PART>SCONJ>ADP,-0.8810315242079967,1.0,-0.8453028981159634,0.41106438801472933,6,4,0.059788040816783905,0.959922602972177,0.6243737221995571
7e02c644a3e275caa0529a05,pos_4gram,DET>NUM>NOUN>X,0.871078945966834,1.0,0.7923779605145969,0.39560100860529984,2,7,0.049190159887075424,0.959922602972177,0.6241604445652777
