feature,family,hedges_g,cliffs_delta,loo_stability,translation_removed_g,source_to_time_abs_g_ratio,permutation_p_value,q_value,ranking_score
surface_cjk_ratio,character_composition,-0.49561303126391104,-0.28,1.0,-0.592881403282543,0.05800204811807744,0.2670866549015045,0.8517431361334664,0.468442411945689
syntax_median_sentence_tokens,dependency_syntax,-0.5185126186846444,-0.2,1.0,-0.42314516727917767,0.11968978213540714,0.24763761460781097,0.8442191407084465,0.4630859609130016
deprel_parataxis_ratio,dependency_relation,-0.7600999252237504,-0.36,1.0,-0.775497307570989,0.6564427741575575,0.09424528479576111,0.5216926569119096,0.458874847403241
surface_mean_paragraph_cjk_chars,document_structure,-0.8096162040827874,-0.5,1.0,-0.792677343410773,0.789490395308776,0.07584621012210846,0.5216926569119096,0.45242835960742245
deprel_case_ratio,dependency_relation,-0.49132035741236546,-0.38,1.0,-0.4476448917268852,0.09246756583479696,0.259537011384964,0.8463163414727086,0.4497345026778241
deprel_root_ratio,dependency_relation,0.44390773065897066,0.22,1.0,0.32719872791926724,0.06770911985650728,0.31213438510894775,0.8853802422307572,0.41575717805859785
syntax_mean_sentence_tokens,dependency_syntax,-0.4830520345831934,-0.22,1.0,-0.3826818567704601,0.17798192863148501,0.2742362916469574,0.8517431361334664,0.41006744063075473
title_body_cjk_type_overlap,title_form,-0.47169673765092546,-0.34,1.0,-0.5603280758106302,0.16577953619631253,0.3082345724105835,0.8853802422307572,0.4046191608320474
deprel_appos_ratio,dependency_relation,0.5597197311626683,0.14,1.0,0.684073169163504,0.4018278581137852,0.221438929438591,0.8101424247753329,0.39927850479144655
deprel_compound_ratio,dependency_relation,-0.6887300963675332,-0.48,1.0,-0.5544279925165826,0.7525818876706294,0.12584370374679565,0.5551928106476279,0.39298026597942876
syntax_subordinate_relation_ratio,dependency_syntax,-0.6646106141388858,-0.36,1.0,-0.8757085285415558,0.7640114069465518,0.1338433027267456,0.5736141545431954,0.3767609503667019
discourse_metadiscourse_markers_per_10k_cjk,discourse_and_stance,0.6316645763797477,0.2,1.0,0.6895997715272186,0.6780770402689602,0.4720763862133026,0.8978664686408224,0.3764216786367003
discourse_all_markers_per_10k_cjk,discourse_and_stance,-0.6257843430581826,-0.36,1.0,-0.7976728741530876,0.7737873682343094,0.1533423364162445,0.6199032068252563,0.3527955798225751
surface_exact_sentence_repeat_ratio,repetition_and_regularity,0.5908273732934088,0.2,1.0,0.4641553747140537,0.7249448244193331,0.4698764979839325,0.8978664686408224,0.3425195779768194
deprel_dislocated_ratio,dependency_relation,0.6086459615390672,0.28,1.0,0.43140988495307475,0.7993748913581814,0.1654917299747467,0.6365066537490258,0.33825411506084585
upos_sym_ratio,universal_pos,0.6291753300488655,0.2,1.0,0.46415537471405377,0.9306026578597143,0.4710264503955841,0.8978664686408224,0.32589581677380247
surface_list_item_ratio,document_structure,0.4944606205608258,0.35,1.0,0.5738677220239903,0.5821637756750637,0.2363881766796112,0.8442191407084465,0.3125217680766668
deprel_det_ratio,dependency_relation,0.35275905469741253,0.26,1.0,0.20848880018232316,0.25095429757987103,0.41282933950424194,0.8978664686408224,0.281991960361677
syntax_left_dependency_ratio,dependency_syntax,-0.34212172040921357,-0.22,1.0,-0.31772266157570306,0.21412891623485705,0.44727763533592224,0.8978664686408224,0.28178368526974007
surface_question_sentence_ratio,document_structure,0.40415065889673485,0.37,1.0,0.3060686998876104,0.49956354671236364,0.3544822633266449,0.8978664686408224,0.26951219225273443
deprel_csubj_ratio,dependency_relation,0.2848168115973394,0.25,1.0,0.1936812062945497,0.09091761528576367,0.5257737040519714,0.9383353766273049,0.2610800372150304
syntax_passive_relation_ratio,dependency_syntax,0.46013931154956395,0.17,1.0,0.4897460859601348,0.7787204201549764,0.30943453311920166,0.8853802422307572,0.258691195274788
upos_verb_ratio,universal_pos,-0.39949451019196247,-0.22,1.0,-0.4557017668898639,0.5623883722367876,0.3655817210674286,0.8978664686408224,0.25569475380825296
upos_adp_ratio,universal_pos,-0.3235350172009743,-0.3,1.0,-0.3331259782806808,0.28176567739052183,0.4624268710613251,0.8978664686408224,0.25241354399475097
surface_mean_sentence_cjk_chars,document_structure,-0.4151607584422416,-0.2,1.0,-0.3205716895039333,0.6662996469350461,0.3614819347858429,0.8978664686408224,0.24915132113595473
title_exclamation_present,title_form,0.46919803523734116,0.2,1.0,0.3071884803941037,0.912870929175277,0.5799710154533386,0.9561609435867477,0.24528473305809145
surface_ascii_letter_ratio,character_composition,0.2584175091589407,0.12,1.0,0.34549376887107974,0.0676688299827086,0.5539222955703735,0.9561609435867477,0.24203901238095138
upos_num_ratio,universal_pos,0.24943223799387879,0.24,1.0,0.23023871179361416,0.03368486504491355,0.5701714754104614,0.9561609435867477,0.2413039471009774
discourse_enumeration_markers_per_10k_cjk,discourse_and_stance,-0.31097611844190964,-0.15,1.0,-0.3733605397529077,0.29233546422982504,0.4882255792617798,0.9119360730415438,0.24063111092230044
syntax_max_nonleaf_branching,dependency_syntax,0.5286211672114612,0.48,1.0,0.5561416937252116,1.243339004342923,0.11884405463933945,0.5402002483606339,0.23564034066545153
deprel_clf_ratio,dependency_relation,0.36242123646399826,0.24,1.0,0.14536405091505897,0.5871612166179413,0.41387930512428284,0.8978664686408224,0.22834557237750325
surface_cjk_char_type_token_ratio,character_composition,-0.3302116267956101,-0.34,1.0,-0.19974878820345265,0.45550476167838666,0.4459277093410492,0.8978664686408224,0.22687086671900206
upos_pron_ratio,universal_pos,0.34600334571640984,0.04,1.0,0.02759902634926417,0.5721704078365728,0.47107642889022827,0.8978664686408224,0.2200800523860114
upos_det_ratio,universal_pos,0.3272050108427454,0.2,1.0,0.2139629753802041,0.503945775726238,0.4532773196697235,0.8978664686408224,0.21756436709610882
upos_adv_ratio,universal_pos,0.3912258650719409,0.18,1.0,0.22975369500366452,0.8281490302275027,0.37453126907348633,0.8978664686408224,0.21400107901665713
deprel_nmod_ratio,dependency_relation,-0.3204889186280094,-0.2,1.0,-0.18477103715425022,0.5073557919717332,0.465076744556427,0.8978664686408224,0.21261663658636698
surface_semicolon_density,punctuation,-0.5253854963628932,-0.28,1.0,-0.47483014070725216,1.508011119533377,0.2534373104572296,0.844791034857432,0.20948292145556469
surface_comma_density,punctuation,-0.47676847909763337,-0.32,1.0,-0.5023288954898988,1.3548616019290074,0.2782360911369324,0.8517431361334664,0.20246135853889838
syntax_lexical_type_token_ratio,token_and_lexical,-0.2703435940894725,-0.28,1.0,-0.11279202661335357,0.3360190198161722,0.5317233800888062,0.9383353766273049,0.2023501088529938
discourse_hedge_markers_per_10k_cjk,discourse_and_stance,0.37472292781369837,0.24,1.0,0.24887914315473555,0.8525640140044747,0.3855307102203369,0.8978664686408224,0.20227259354115537
deprel_amod_ratio,dependency_relation,0.5555513465066844,0.26,1.0,0.6883137581775817,1.7518155845604368,0.20633968710899353,0.7737738266587257,0.2018853841891537
discourse_booster_markers_per_10k_cjk,discourse_and_stance,-0.3123186031018702,-0.09,1.0,-0.40556113496228546,0.7520213320833956,0.49852505326271057,0.9119360730415438,0.1782618723771361
surface_short_paragraph_ratio,document_structure,0.4248537544089667,0.22,1.0,0.5111311169373716,1.460169113166978,0.338483065366745,0.8978664686408224,0.17269290640839405
syntax_mean_root_relative_position,dependency_syntax,0.38368893642869817,0.18,1.0,0.4317953582833261,1.2306913607284422,0.39848005771636963,0.8978664686408224,0.17200449294939793
discourse_causal_markers_per_10k_cjk,discourse_and_stance,-0.44962608983163554,-0.4,1.0,-0.7306033274298461,1.6449660054569937,0.31283435225486755,0.8853802422307572,0.1699931450551667
syntax_lexical_hapax_ratio,token_and_lexical,-0.2239617304616792,-0.26,1.0,-0.09029997631483408,0.32827011938767475,0.6073196530342102,0.9712014128180111,0.1686115852436132
syntax_nominal_modifier_relation_ratio,dependency_syntax,-0.3374995337933067,-0.16,1.0,-0.18571195997198423,1.056426533904944,0.439628005027771,0.8978664686408224,0.16411942183630046
title_colon_present,title_form,0.4063374179212837,0.2,1.0,0.4924383152208749,1.4815943949743846,0.6313683986663818,0.9712014128180111,0.16374046409202903
syntax_mean_lexical_token_cjk_chars,token_and_lexical,-0.30937281566021735,-0.1,0.95,-0.2985438166332812,0.807989901570959,0.5190240144729614,0.937995206878846,0.16255852680473146
deprel_advmod_ratio,dependency_relation,0.316600941487964,0.1,1.0,0.14946815070698957,0.9753616073337876,0.4684765636920929,0.8978664686408224,0.1602749290623761
upos_adj_ratio,universal_pos,0.25158967819727784,0.12,1.0,0.2678033228957695,0.65285425262945,0.5572221279144287,0.9561609435867477,0.1522152832272025
surface_mean_sentences_per_paragraph,document_structure,-0.40789141257898087,-0.26,1.0,-0.4888182086497319,1.7302661762815523,0.3686315715312958,0.8978664686408224,0.1493962076380783
surface_sentence_length_cv,document_structure,0.2169252202108924,-0.04,0.95,0.2689065940412539,0.48102614128190657,0.6298184990882874,0.9712014128180111,0.13914606464810642
deprel_xcomp_ratio,dependency_relation,-0.3969837839408772,-0.2,1.0,-0.516965533316398,2.1179969210494987,0.3647317588329315,0.8978664686408224,0.12732013340386972
surface_url_count_per_1000_cjk,character_composition,0.3793591655052927,0.55,1.0,0.4338092752155194,2.0182360715248766,0.4092795252799988,0.8978664686408224,0.12568903045202573
syntax_dependency_distance_cv,dependency_syntax,-0.3500847071706787,-0.1,1.0,-0.2501945180571908,1.9142458038837187,0.42377880215644836,0.8978664686408224,0.12012875053440324
deprel_ccomp_ratio,dependency_relation,-0.3768275880656816,-0.24,1.0,-0.5992072294260522,2.149129175057959,0.42332881689071655,0.8978664686408224,0.11966088626985147
deprel_iobj_ratio,dependency_relation,-0.142221784373145,-0.11,1.0,-0.1830013154151095,0.32045753842752656,0.7289135456085205,0.9819928926365976,0.1077064428308013
upos_aux_ratio,universal_pos,-0.19156868365844906,-0.26,0.95,-0.3140452457192208,0.7437966127484242,0.6567671298980713,0.9712014128180111,0.10436437835986448
deprel_flat_ratio,dependency_relation,0.27219879036821754,0.2,0.95,0.35443747618400634,1.4885200203389382,0.580070972442627,0.9561609435867477,0.1039127066434397
deprel_discourse_ratio,dependency_relation,-0.3065795239838148,-0.16,1.0,-0.49591040626680066,1.9627663265731885,0.4964751601219177,0.9119360730415438,0.1034774566033402
syntax_mean_nonleaf_branching,dependency_syntax,0.23296229562081258,0.06,0.95,0.1578390106505081,1.146984806563184,0.6406179666519165,0.9712014128180111,0.10308139124377118
title_digit_present,title_form,0.19154929577464797,0.1,1.0,0.06483603512891518,1.102821933140711,1.0,1.0,0.09109154358522205
syntax_dependency_distance_max,dependency_syntax,-0.24207051962534573,-0.16,1.0,-0.17128232077381428,1.6830971757535615,0.5751712322235107,0.9561609435867477,0.09022055623362168
deprel_nummod_ratio,dependency_relation,0.13275991884098978,0.16,0.85,0.09792471835875838,0.29571555727039284,0.7608119249343872,0.9819928926365976,0.08709159227243295
title_ascii_letter_ratio,title_form,0.14985483673800148,0.23,1.0,0.16851178414031165,0.7735129891589556,0.7350132465362549,0.9819928926365976,0.08449604691593852
surface_sentence_length_autocorrelation,repetition_and_regularity,-0.19872697825544955,-0.06,0.95,-0.19325062142692773,1.3265647752085847,0.6431678533554077,0.9712014128180111,0.08114565790490459
deprel_mark_ratio,dependency_relation,-0.17912793842731004,-0.14,1.0,-0.399877180228904,1.3946632757031605,0.676716148853302,0.9760329069999548,0.07480297553513512
title_question_present,title_form,-0.2569903478365956,-0.1,1.0,-0.22190871321382516,2.5,1.0,1.0,0.07342581366759873
syntax_dependency_relation_entropy_bits,dependency_syntax,-0.1915617458868061,-0.2,1.0,-0.2950202591080561,1.884297479623603,0.6561172008514404,0.9712014128180111,0.06641539135269939
surface_paragraph_length_cv,document_structure,0.21590321383436997,0.1,1.0,0.17483821115866963,2.4751382169380713,0.638218104839325,0.9712014128180111,0.06212795012930488
surface_digit_ratio,character_composition,0.10229722490621786,0.08,0.85,0.164824764023798,0.4733843522839611,0.8127093315124512,0.9819928926365976,0.05901558614729135
syntax_function_word_ratio,token_and_lexical,-0.09890056376095656,0.0,0.85,-0.3631767472760412,0.4297248859313193,0.8186090588569641,0.9819928926365976,0.05879836045663641
surface_exclamatory_sentence_ratio,document_structure,-0.15667199396841017,-0.02,0.95,-0.11611464921833939,2.08142288676357,0.8566071391105652,0.9819928926365976,0.04830183968235375
syntax_token_length_cv,token_and_lexical,0.1939304555455845,0.14,0.95,0.26558580583454455,3.0471678406769547,0.6604169607162476,0.9712014128180111,0.04552169319903697
syntax_dependency_distance_mean,dependency_syntax,0.08071613169965769,0.16,0.75,0.1564027345121685,0.34640750509106166,0.8539572954177856,0.9819928926365976,0.04496194394775671
deprel_nsubj_ratio,dependency_relation,-0.18863094176204065,-0.1,0.95,-0.4229179753050097,3.206700712991859,0.6581170558929443,0.9712014128180111,0.04259856046343019
deprel_conj_ratio,dependency_relation,0.1555700080824551,0.06,0.95,0.2800580808165459,2.486829531332798,0.7238137722015381,0.9819928926365976,0.0423856418417567
deprel_cop_ratio,dependency_relation,-0.201445668358242,-0.26,1.0,-0.29765299399645684,4.256059379768161,0.6436178088188171,0.9712014128180111,0.03832636844508548
surface_sentence_opening_repeat_ratio,repetition_and_regularity,-0.11774052384227263,-0.03,0.95,-0.14109551601676323,2.3328567921246806,0.7877106070518494,0.9819928926365976,0.033560847233058855
