feature,minimum,q1,median,q3,maximum,huber_location,robust_scale
surface_parenthesis_density,0.0,0.0014326647564469914,0.003629764065335753,0.011627906976744186,0.0313649564375605,0.0053009095128603205,0.003960692803170956
surface_period_density,0.013939980638915779,0.01858064516129032,0.020326678765880218,0.023202911737943584,0.028817204301075268,0.02034419466897416,0.003984378756583494
surface_punctuation_density,0.05536332179930796,0.07549909255898367,0.08410617204988807,0.09795570698466781,0.17463697967086156,0.08651204737899698,0.014255781675523847
surface_question_sentence_ratio,0.0,0.0,0.0,0.03773584905660377,0.10344827586206896,0.018207354835707106,0.026771200076315144
surface_quote_mark_density,0.0,0.0013679890560875513,0.004016064257028112,0.009718172983479106,0.022151367679140794,0.005179327501890652,0.004691354857248414
surface_repeated_char_ngram_ratio,0.009320905459387484,0.044571428571428574,0.05826062482409232,0.09879708144350227,0.14587475149105367,0.06781045274006121,0.02901975195052154
surface_semicolon_density,0.0,0.0,0.0,0.001032258064516129,0.004402224281742354,0.0005418413998837806,0.0008297758497283761
surface_sentence_length_autocorrelation,-0.2639891170257365,-0.07562410649684151,0.06517935944590153,0.14846314846769895,0.3637692514858866,0.05421663053443307,0.12347654560371685
surface_sentence_length_cv,0.35626103462564623,0.4385488520207405,0.4943945051879681,0.5833013670211993,0.7949686959602115,0.5098016831146704,0.08279676538573166
surface_sentence_opening_repeat_ratio,0.0,0.0,0.046153846153846156,0.0707070707070707,0.13333333333333333,0.04516234181981178,0.03900709030100334
surface_short_paragraph_ratio,0.03125,0.19230769230769232,0.375,0.5581395348837209,0.6861313868613139,0.37280319912215487,0.27085961538461534
surface_url_count_per_1000_cjk,0.0,0.0,0.49664762850757393,1.2658227848101267,5.5762081784386615,0.6929687118425703,0.7363297740253291
title_ascii_letter_ratio,0.0,0.0,0.10810810810810811,0.2222222222222222,0.5952380952380952,0.14094760513286822,0.16028108108108108
title_body_cjk_type_overlap,0.7619047619047619,0.8823529411764706,0.9230769230769231,1.0,1.0,0.9285548777242683,0.07127884615384622
title_colon_present,0.0,0.0,0.0,1.0,1.0,0.2503194293366632,0.38143913043478267
title_digit_present,0.0,0.0,1.0,1.0,1.0,0.5217391304347826,0.599404347826087
title_exclamation_present,0.0,0.0,0.0,0.0,1.0,0.06883112127924186,0.21796521739130437
title_question_present,0.0,0.0,0.0,0.0,1.0,0.015568944099160612,0.10898260869565218
title_quote_present,0.0,0.0,0.0,0.0,1.0,0.11352355072057607,0.27245652173913043
