feature,family,pre_huber_location,post_huber_location,robust_effect_post_minus_pre,unweighted_hedges_g,direction_matches_unweighted,translation_removed_robust_effect,translation_removed_direction_consistent,pre_effective_n,post_effective_n,minimum_effective_fraction,loo_direction_stability,permutation_p_value,q_value,ranking_score
surface_url_count_per_1000_cjk,character_composition,0.044208112874704504,0.2771981794859666,0.9207180407340086,0.3793591655052927,True,1.0520957908663346,True,9.349808518456655,9.08254390959747,0.908254390959747,1.0,0.10977804439112178,0.5734478104379124,0.8362462033325185
discourse_causal_markers_per_10k_cjk,discourse_and_stance,11.230652400878764,5.860948959898923,-0.8875906606144952,-0.44962608983163554,True,-1.0899749980717388,True,9.663724404509852,9.362302457461848,0.9362302457461847,1.0,0.11377724455108978,0.5734478104379124,0.8309892223091273
graph_mainline_detour_ratio,discourse_graph,0.09729350652006526,0.13541956873487168,0.834313440339915,0.5045624434233998,True,0.6731420674083689,True,9.861783997842446,9.794582266175585,0.9794582266175584,1.0,0.08878224355128975,0.5497669696829866,0.8171751627185272
deprel_obl_ratio,dependency_relation,0.029027930105939837,0.023564897573479706,-0.8173411099128022,-0.8728103958590638,True,-0.8224989491701789,True,9.98693117273013,9.98755307670255,0.9986931172730131,1.0,0.11397720455908818,0.5734478104379124,0.8162729409342009
deprel_acl_ratio,dependency_relation,0.021752121526986322,0.01875582805054804,-0.8109102243376438,-0.855074673367321,True,-0.6934375329725073,True,10.0,10.0,1.0,1.0,0.10697860427914417,0.5734478104379124,0.8109102243376438
surface_non_whitespace_char_count,character_composition,3183.4,5645.572424992625,0.8174363476586698,0.7856808307355332,True,0.646555507952813,True,10.0,9.391294822452625,0.9391294822452625,1.0,0.14257148570285944,0.6078144371125774,0.7676785739451449
surface_period_density,punctuation,0.01980011157677249,0.024366316394349,0.7764562262896586,0.8874277664909823,True,0.779068729890118,True,9.869247053568678,10.0,0.9869247053568678,1.0,0.2019596080783843,0.6213964754218968,0.7663038323534268
surface_char_count,character_composition,3433.9,6054.231887491998,0.8152212546398793,0.7794918057712085,True,0.6405457659558086,True,10.0,9.388134214276903,0.9388134214276903,1.0,0.14777044591081784,0.6078144371125774,0.7653406552890394
surface_paragraph_opening_repeat_ratio,repetition_and_regularity,0.024171882521338606,0.05352150896325491,0.8952234358841908,0.1356507744202261,True,0.8884657416103333,True,8.51570213513904,9.475782822157019,0.851570213513904,1.0,0.19536092781443712,0.6167276348651839,0.7623456124385511
surface_long_paragraph_ratio,document_structure,0.015741023840469767,0.00012814928375461682,-0.8009210653886144,-0.8011908388586486,True,-0.8078092191730449,True,9.657604192424918,9.34980851843056,0.934980851843056,1.0,0.08678264347130574,0.5497669696829866,0.7488458599760947
